 ,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
479,Nanakuli,US,73.42,clear sky,21.3906,-158.1547,Camp Pālehua
480,Gamba,GA,81.28,broken clouds,-2.65,10.0,
481,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
484,Jemnice,CZ,69.73,broken clouds,49.019,15.5699,Penzion Na Podolí
486,Port Blair,IN,80.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
493,Bambanglipuro,ID,76.84,overcast clouds,-7.95,110.2833,Puri Brata
495,Sokoni,TZ,84.06,clear sky,-6.4333,39.55,Ujamaa Beach Resort
496,Inongo,CD,78.49,overcast clouds,-1.95,18.2667,Hotel Du Lac
497,Cap Malheureux,MU,72.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
499,Sabha,LY,78.04,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
500,Flinders,AU,65.37,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
501,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
502,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
503,Port Hawkesbury,CA,65.97,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
504,Esmeraldas,BR,82.51,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
505,Labuan,MY,80.96,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
506,General Roca,AR,72.63,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
507,Gulu,UG,71.82,light rain,2.7746,32.299,ACHOLI INN
508,Bubaque,GW,81.7,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
510,Acapulco,MX,79.07,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
511,Japura,ID,77.09,heavy intensity rain,-0.3167,102.35,Rumah mbah Jamah
513,Kailua,US,73.44,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
514,Sao Jose Da Coroa Grande,BR,80.31,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
518,Linhares,BR,81.86,overcast clouds,-19.3911,-40.0722,Hotel Conceição
520,Angoram,PG,73.83,overcast clouds,-4.0625,144.0661,
524,Ixtapa,MX,82.22,overcast clouds,20.7,-105.2,hotel la terminal
527,El Sauce,NI,80.6,overcast clouds,12.8869,-86.539,Hotel Blanco
529,Calabozo,VE,82.06,broken clouds,8.9242,-67.4293,Hotel Giardini
531,Umm Lajj,SA,83.82,clear sky,25.0213,37.2685,Moon light Furnished Units
532,Carmen,MX,80.64,broken clouds,18.6333,-91.8333,Hotel Lossandes
536,Muros,ES,68.85,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
538,Mantua,IT,77.05,clear sky,45.1667,10.7833,Hotel la Favorita
540,Rock Sound,BS,82.47,light rain,24.9,-76.2,Pink Corral Bay Property
541,Axim,GH,81.3,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
542,Harper,LR,80.46,light rain,4.375,-7.7169,Screensaver
543,Qingyuan,CN,75.18,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
544,Pilar,BR,82.33,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
548,Nantucket,US,66.31,mist,41.2835,-70.0995,Jared Coffin House
551,Bandarbeyla,SO,78.91,clear sky,9.4942,50.8122,JABIR HOTEL
552,Matamoros,MX,65.1,light rain,25.5333,-103.25,Quinta Belem
553,Methoni,GR,73.26,clear sky,36.8197,21.7049,Methoni Beach Hotel
555,Lasa,IT,76.08,few clouds,46.6166,10.7002,Pension Feldgärtenhof
557,Nova Venecia,BR,81.91,overcast clouds,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
558,Kirchheim,DE,66.24,broken clouds,50.8333,9.5667,Hotel Eydt Kirchheim
559,Hualmay,PE,65.17,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
560,Wanning,CN,67.37,moderate rain,18.8003,110.3967,Paradise Hotel
562,Mnichovice,CZ,67.24,overcast clouds,49.936,14.7091,Hotel Zámek Berchtold
565,Lar,IN,76.44,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
566,Palmares Do Sul,BR,68.45,overcast clouds,-30.2578,-50.5097,Hotel Campos Dourados.
573,Burdur,TR,65.1,broken clouds,37.7203,30.2908,Özeren Grand Hotel & Spa
574,Meulaboh,ID,77.2,light rain,4.1363,96.1285,Kost Pria
577,Aiquile,BO,68.85,broken clouds,-18.2041,-65.1807,Hotel Santa Ana
580,Lodja,CD,75.06,light rain,-3.4833,23.4333,
583,Apozol,MX,69.82,overcast clouds,21.4833,-103.1,Paraíso Caxcán
584,Dowa,MW,80.87,clear sky,-13.654,33.9375,Dowa Inn
587,Bergama,TR,66.49,clear sky,39.1207,27.1805,Anil Hotel
589,Demba,CD,81.27,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
593,Lumut,MY,80.62,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
598,Oravita,RO,68.27,broken clouds,45.0325,21.6894,Condor Hotel
599,Ashqelon,IL,78.69,clear sky,31.6693,34.5715,Leonardo Ashkelon
600,Vincennes,FR,67.28,overcast clouds,48.85,2.4333,Aparthotel Adagio Paris Vincennes
603,Kalemie,CD,82.63,few clouds,-5.9475,29.1947,Mahobilali
605,Pekan,MY,82.51,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
612,Dunmore Town,BS,82.45,moderate rain,25.5,-76.65,Coral Sands Hotel
615,Kamariotissa,GR,68.45,clear sky,40.4833,25.4667,Niki Beach
620,Buala,SB,80.26,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
623,Manacapuru,BR,80.71,overcast clouds,-3.2997,-60.6206,Novo Hotel
625,Voh,NC,69.73,clear sky,-20.9667,164.7,Le gîte du Koniambo
631,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
636,Coruripe,BR,82.31,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
640,Tual,ID,83.77,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
641,Biak,ID,77.63,overcast clouds,-0.9131,122.8766,Penginapan Kim
642,Uch,FR,84.36,broken clouds,45.3192,-0.9345,Tour Hôtel
643,Raipur,IN,78.94,haze,21.2333,81.6333,Le Roi Raipur Hotel
645,Sao Miguel Do Iguacu,BR,74.28,overcast clouds,-25.3481,-54.2378,Hotel Itaguaçu
647,Coria,ES,80.46,broken clouds,39.9879,-6.5377,Hotel San Cristóbal
651,Valdivia,CL,69.89,scattered clouds,-39.8142,-73.2459,Hostal Entre Rios
652,Gorontalo,ID,76.59,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
